id,cycle,mean_skew,stddev_skew,valid
0329,0.0100071309793,0.798010238012,0.000151519446221,1
018f,0.0100073429069,0.807804695765,0.000159671442744,1
02a0,0.0100071309793,0.797799173991,0.000155914521242,1
0002,0.00998990945142,0.468775478999,0.000488373243328,1
0260,0.0100073236408,0.807563686371,0.000157558963247,1
0130,0.0099895747021,0.486275402705,0.000520190817268,1
0545,0.0100195552364,1.42691559792,0.000399839285074,1
0131,0.00998967825764,0.481011414528,0.000513987571663,1
02c0,0.00999130383886,0.0178883393606,0.000228391308243,1
02b0,0.0100076078164,0.00713075002035,0.00455596984719,1
0153,0.00999477897028,0.222459411621,0.000248907189405,1
0370,0.00998954580288,0.541537475586,0.000124391488681,1
05a0,0.999083627354,1.00303064982,0.0118450560516,1
04f0,0.0199988779396,0.00509767532349,0.00304102249299,1
05f0,0.0499992924507,0.0464205185572,1.02914162075e-05,1
0690,0.0999974530153,0.0921658913294,9.81878935171e-05,1
05a2,0.999083504532,1.00321063201,0.0119909914283,1
01f1,0.0199980494952,0.00793604850769,0.012661083509,1
0430,0.0199984564926,0.0143980820974,0.00414586065963,1
0350,0.00999511131132,0.067667110761,0.00026754464045,1
043f,0.0100061821215,0.300231560071,0.000147481188689,1
0316,0.0100074657286,0.815690422058,0.0001602970882,1
0440,0.00999150372515,0.442638929685,0.000111404844112,1
00a0,0.0999125254275,0.0820100386937,0.000622299007675,1
04b1,0.0199981313763,0.0093240181605,0.0111393056071,1
00a1,0.0999122918254,0.0808481216431,0.000624522992624,1
0140,0.00998960600959,0.484661197662,0.000510636575014,1
